Aka,RRV,C2-Modification,Alcohol_type,Alcohol_position,C1_stereo_donor,C6_Modification,Solvent,C4_stereo_donor,C6-Modification_a,Concentartion,temperature,C4-Modification_a,a_2_sub,C3_Modification_a,Stoichiometery,C1_Modification-a,C1_stereo_acceptor,a-ratio
x18,x9,x3,x17,x16,x2,x8,x20,x7,x15,x21,x19,x14,x12,x13,x22,x10,x11,y1
100,270,N3,primary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,0
80,17000,OBn,tertiary,1_OH,b,OBn,DCM,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,62
100,72000,OBn,primary,1_OH,b,CH3,DCM,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,83
100,1000000,H,primary,1_OH,a,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,40
1.36,270,N3,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,47
1.36,2656,OBn,Secondary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,66
1.36,72000,OBn,Secondary,1_OH,b,CH3,DCM,axial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
1.36,1000000,H,Secondary,1_OH,a,OBn,DCM,equatorial,-,0.167M,-40 ℃,-,-,-,1:1.5,-,-,100
100,270,N3,primary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-20 ℃,-,-,-,1:1.5,-,-,0
100,2656,OBn,primary,1_OH,b,OBn,DCM,equatorial,-,0.167M,-20 ℃,-,-,-,1:1.5,-,-,27
80,17000,OBn,tertiary,1_OH,b,OBn,DCM,axial,-,0.167M,-20 ℃,-,-,-,1:1.5,-,-,40
