iter	RMSE
0	33.78247941
1	32.63626265
2	31.49940989
3	30.39056204
4	29.38416099
5	28.39348961
6	27.5768354
7	26.7057829
8	25.86164736
9	25.1855998
10	24.57181431
11	23.96494287
12	23.39310468
13	22.7534254
14	22.21533936
15	21.68137115
16	21.17032918
17	20.74619366
18	20.23431961
19	19.80568657
20	19.41485081
21	19.08346115
22	18.75967095
23	18.51535967
24	18.20947803
25	17.87045698
26	17.61697757
27	17.34401666
28	17.01561725
29	16.79779131
30	16.61256297
31	16.4247066
32	16.25607896
33	16.09361131
34	15.91506322
35	15.75433048
36	15.56988283
37	15.44819397
38	15.3117618
39	15.16957506
40	15.06251706
41	14.95889652
42	14.8323806
43	14.72704978
44	14.6354905
45	14.55470129
46	14.47675255
47	14.39534776
48	14.30875359
49	14.22294732
50	14.13158071
51	14.0283741
52	13.96039249
53	13.88746216
54	13.81832716
55	13.74622576
56	13.68974139
57	13.62785223
58	13.5637507
59	13.50675335
60	13.42900759
61	13.39295749
62	13.34266978
63	13.30791159
64	13.27649937
65	13.21329232
66	13.16802846
67	13.14390199
68	13.10700478
69	13.05225946
70	13.00663838
71	12.95272419
72	12.90456339
73	12.87530944
74	12.83850037
75	12.78060902
76	12.7451448
77	12.71479515
78	12.66422782
79	12.60745798
80	12.56813632
81	12.53620241
82	12.50624934
83	12.46621437
84	12.41634554
85	12.37321736
86	12.350534
87	12.32577352
88	12.29715212
89	12.26886844
90	12.24555596
91	12.22826285
92	12.20986581
93	12.19199413
94	12.1623171
95	12.14577287
96	12.13369081
97	12.10976699
98	12.09075844
99	12.07717328
100	12.05499666
101	12.0264265
102	11.99079633
103	11.97027618
104	11.9357795
105	11.90944431
106	11.88110065
107	11.86307237
108	11.83409434
109	11.81632937
110	11.77561216
111	11.75895521
112	11.73115135
113	11.69666103
114	11.68842327
115	11.65423879
116	11.62683945
117	11.57933311
118	11.5687857
119	11.5272889
120	11.506067
121	11.48651976
122	11.43295659
123	11.40454928
124	11.36066737
125	11.33513534
126	11.30798409
127	11.28982275
128	11.25656579
129	11.23271439
130	11.22028186
131	11.19916014
132	11.16935142
133	11.13945073
134	11.11955746
135	11.09791021
136	11.07387859
137	11.04999655
138	11.02122154
139	10.96779517
140	10.940274
141	10.93258212
142	10.91066376
143	10.87453765
144	10.84504906
145	10.82323333
146	10.78901782
147	10.76539483
148	10.74040026
149	10.71531378
150	10.69593371
151	10.67209909
152	10.64199388
153	10.60367046
154	10.59159959
155	10.56319604
156	10.53413982
157	10.52102655
158	10.49339009
159	10.47334474
160	10.45452903
161	10.42750583
162	10.40604395
163	10.38532927
164	10.36282764
165	10.33910031
166	10.32906686
167	10.31374369
168	10.28801106
169	10.26215713
170	10.25073026
171	10.23583414
172	10.22013436
173	10.20006923
174	10.16812205
175	10.14437946
176	10.1334944
177	10.11702692
178	10.09611373
179	10.0685386
180	10.0600982
181	10.0337437
182	10.00721188
183	9.998195112
184	9.972964508
185	9.944283656
186	9.920947708
187	9.902932025
188	9.880462173
189	9.855896481
190	9.846220384
191	9.827736465
192	9.819902979
193	9.797147211
194	9.770867059
195	9.754648368
196	9.745971137
197	9.724272567
198	9.702424199
199	9.686812435
200	9.669458859
201	9.63145451
202	9.608533183
203	9.588277311
204	9.56513974
205	9.546339559
206	9.531465917
207	9.508529122
208	9.500144575
209	9.482049336
210	9.467660459
211	9.433119068
212	9.415891299
213	9.40838346
214	9.375727858
215	9.336706954
216	9.329167551
217	9.321831392
218	9.301076698
219	9.280560084
220	9.250040128
221	9.221200812
222	9.193947332
223	9.17805314
224	9.162590185
225	9.141938802
226	9.128432123
227	9.106903663
228	9.099733336
229	9.079846803
230	9.064615493
231	9.050279911
232	9.043842257
233	9.024481073
234	9.005537118
235	8.999142721
236	8.985604376
237	8.968915057
238	8.963517692
239	8.946803959
240	8.935017253
241	8.921760923
242	8.909063581
243	8.896285292
244	8.886893502
245	8.86959847
246	8.864774005
247	8.851782187
248	8.836192972
249	8.820680613
250	8.801165202
251	8.78476071
252	8.770177673
253	8.757762387
254	8.723285841
255	8.707308281
256	8.701770611
257	8.687135676
258	8.66862564
259	8.650841265
260	8.6388905
261	8.626722308
262	8.601799003
263	8.597208193
264	8.580403787
265	8.569862928
266	8.546397013
267	8.515510238
268	8.501399536
269	8.472753242
270	8.459269675
271	8.444675846
272	8.428599958
273	8.412035077
274	8.399260615
275	8.394920343
276	8.373781165
277	8.362364915
278	8.350246838
279	8.345473939
280	8.334570077
281	8.318873333
282	8.308107925
283	8.294167836
284	8.278299874
285	8.267343837
286	8.247123285
287	8.235717593
288	8.223473992
289	8.209121947
290	8.195874157
291	8.177313987
292	8.167909961
293	8.148798954
294	8.144961768
295	8.125908489
296	8.11418035
297	8.09554041
298	8.08171145
299	8.072598713
300	8.0619391
301	8.058303339
302	8.045015561
303	8.033425574
304	8.029161164
305	8.019502547
306	8.002566591
307	7.990237455
308	7.977848084
309	7.968571406
310	7.965214102
311	7.956247786
312	7.948254754
313	7.939756503
314	7.932023723
315	7.918284427
316	7.905435549
317	7.898459813
318	7.888890865
319	7.881186148
320	7.868558805
321	7.852502744
322	7.845918951
323	7.822077862
324	7.811829122
325	7.796781896
326	7.788407827
327	7.776380261
328	7.752568854
329	7.73500956
330	7.712306494
331	7.697818219
332	7.687759866
333	7.666286609
334	7.654482466
335	7.648148305
336	7.625502924
337	7.60389991
338	7.600743389
339	7.589814149
340	7.569116401
341	7.559915607
342	7.552111282
343	7.536850016
344	7.526554196
345	7.514032454
346	7.504314305
347	7.49897286
348	7.489443812
349	7.482395038
350	7.47727702
351	7.467860822
352	7.455617669
353	7.448334966
354	7.438469541
355	7.42340929
356	7.403787057
357	7.392203736
358	7.382497457
359	7.366594686
360	7.348161469
361	7.342276989
362	7.335238384
363	7.327296158
364	7.3194112
365	7.31297264
366	7.308166549
367	7.297017175
368	7.279303397
369	7.255464632
370	7.246603648
371	7.237651055
372	7.230922559
373	7.222525714
374	7.201233748
375	7.184758631
376	7.177193543
377	7.159388063
378	7.151528639
379	7.143779933
380	7.137995313
381	7.127231627
382	7.113774614
383	7.103910082
384	7.087063862
385	7.075299955
386	7.069825405
387	7.065698854
388	7.050795938
389	7.041998513
390	7.028923253
391	7.016760519
392	7.000674156
393	6.994269862
394	6.981439196
395	6.972586092
396	6.964535994
397	6.953560201
398	6.94560196
399	6.933456637
400	6.927524651
401	6.916397778
402	6.906011013
403	6.899320281
404	6.893822347
405	6.882305811
406	6.877067808
407	6.866118052
408	6.856344347
409	6.845686618
410	6.833727906
411	6.824503313
412	6.815779995
413	6.808996576
414	6.800763144
415	6.78672402
416	6.778811554
417	6.771132044
418	6.757659472
419	6.746726412
420	6.740096393
421	6.731020131
422	6.718132746
423	6.708495907
424	6.701274371
425	6.690896585
426	6.684725975
427	6.675434724
428	6.669049769
429	6.653118052
430	6.644547992
431	6.628926467
432	6.616633599
433	6.607793677
434	6.604510339
435	6.596080513
436	6.588427003
437	6.58532965
438	6.582408708
439	6.567320445
440	6.557416836
441	6.549455776
442	6.537692367
443	6.532442602
444	6.517744217
445	6.510113325
446	6.503071057
447	6.488892089
448	6.470977032
449	6.461772326
450	6.456929855
451	6.449103014
452	6.443499588
453	6.426530837
454	6.420126982
455	6.416064677
456	6.408792336
457	6.392699663
458	6.384136551
459	6.367533485
460	6.359194231
461	6.352635809
462	6.346184491
463	6.338181326
464	6.327831467
465	6.320142231
466	6.310860182
467	6.306303148
468	6.296968693
469	6.284284344
470	6.277067191
471	6.271261071
472	6.264133329
473	6.255068857
474	6.245558633
475	6.241236721
476	6.232696035
477	6.218752041
478	6.214345694
479	6.19929785
480	6.185559826
481	6.17487062
482	6.166325144
483	6.157774103
484	6.148572392
485	6.132932891
486	6.125631188
487	6.117598262
488	6.111164727
489	6.104393968
490	6.094522073
491	6.086452526
492	6.07841575
493	6.072639993
494	6.066186189
495	6.058781919
496	6.054511685
497	6.050900609
498	6.044275164
499	6.040346875
