iter	Passed	Remaining
0	0	212
1	0	172
2	1	180
3	1	185
4	1	187
5	2	189
6	2	169
7	2	172
8	3	175
9	3	169
10	3	158
11	3	160
12	4	163
13	4	165
14	5	166
15	5	168
16	5	170
17	6	170
18	6	173
19	7	177
20	7	178
21	8	178
22	8	178
23	8	178
24	9	179
25	9	180
26	10	181
27	10	181
28	11	182
29	11	182
30	12	182
31	12	182
32	12	182
33	13	182
34	13	181
35	14	181
36	14	181
37	14	181
38	15	180
39	15	180
40	15	178
41	16	178
42	16	177
43	17	177
44	17	178
45	18	178
46	18	178
47	18	178
48	19	177
49	19	177
50	20	177
51	20	176
52	20	176
53	21	176
54	21	176
55	22	175
56	22	175
57	22	174
58	23	174
59	23	174
60	24	174
61	24	173
62	25	173
63	25	174
64	26	174
65	26	173
66	26	173
67	27	173
68	27	172
69	28	172
70	28	171
71	28	171
72	29	171
73	29	171
74	30	171
75	30	171
76	31	170
77	31	170
78	31	169
79	32	169
80	32	169
81	33	168
82	33	168
83	33	168
84	34	167
85	34	167
86	35	167
87	35	166
88	36	166
89	36	166
90	36	166
91	37	165
92	37	165
93	38	165
94	38	164
95	39	164
96	39	163
97	39	163
98	40	163
99	40	162
100	41	162
101	41	162
102	41	161
103	42	161
104	42	160
105	43	160
106	43	159
107	43	159
108	44	159
109	44	159
110	45	158
111	45	158
112	46	158
113	47	160
114	47	160
115	48	159
116	48	159
117	49	159
118	49	158
119	49	158
120	50	157
121	50	157
122	51	156
123	51	156
124	51	155
125	52	155
126	52	155
127	53	154
128	53	154
129	54	153
130	54	153
131	54	152
132	55	152
133	55	152
134	56	151
135	56	151
136	56	150
137	57	150
138	57	149
139	58	149
140	58	149
141	58	148
142	59	148
143	59	147
144	60	147
145	60	147
146	61	146
147	61	146
148	61	145
149	62	145
150	62	144
151	63	144
152	63	144
153	63	143
154	64	143
155	64	142
156	65	142
157	65	141
158	66	141
159	66	141
160	66	140
161	67	140
162	67	139
163	68	139
164	68	138
165	68	138
166	69	138
167	69	137
168	70	137
169	70	136
170	70	136
171	71	135
172	71	135
173	72	135
174	72	134
175	72	134
176	73	133
177	73	133
178	74	132
179	74	132
180	74	132
181	75	131
182	75	131
183	76	130
184	76	130
185	77	130
186	77	129
187	77	129
188	78	128
189	78	128
190	79	127
191	79	127
192	79	127
193	80	126
194	80	126
195	81	125
196	81	125
197	81	124
198	82	124
199	82	124
200	83	123
201	83	123
202	83	122
203	84	122
204	84	122
205	85	121
206	85	121
207	86	120
208	86	120
209	86	119
210	87	119
211	87	119
212	88	118
213	88	118
214	88	117
215	89	117
216	89	116
217	90	116
218	90	116
219	90	115
220	91	115
221	91	114
222	92	114
223	92	113
224	92	113
225	93	113
226	93	112
227	94	112
228	94	111
229	94	111
230	95	111
231	95	110
232	96	110
233	96	109
234	96	109
235	97	108
236	97	108
237	98	108
238	98	107
239	99	107
240	99	107
241	99	106
242	100	106
243	100	105
244	101	105
245	101	104
246	102	104
247	102	104
248	102	103
249	103	103
250	103	102
251	104	102
252	104	102
253	104	101
254	105	101
255	105	100
256	106	100
257	106	100
258	107	99
259	107	99
260	107	98
261	108	98
262	108	97
263	109	97
264	109	97
265	109	96
266	110	96
267	110	95
268	111	95
269	111	95
270	111	94
271	112	94
272	112	93
273	113	93
274	113	92
275	113	92
276	114	92
277	114	91
278	115	91
279	115	90
280	115	90
281	116	90
282	116	89
283	117	89
284	117	88
285	118	88
286	118	87
287	119	88
288	120	87
289	120	87
290	120	86
291	121	86
292	121	86
293	122	85
294	123	85
295	123	85
296	124	84
297	124	84
298	124	83
299	125	83
300	125	83
301	126	82
302	126	82
303	126	81
304	127	81
305	127	80
306	128	80
307	128	80
308	128	79
309	129	79
310	129	78
311	130	78
312	130	78
313	131	77
314	131	77
315	131	76
316	132	76
317	132	75
318	133	75
319	133	75
320	133	74
321	134	74
322	134	73
323	135	73
324	135	72
325	135	72
326	136	72
327	136	71
328	137	71
329	137	70
330	137	70
331	138	69
332	138	69
333	139	69
334	139	68
335	140	68
336	140	67
337	140	67
338	141	67
339	141	66
340	142	66
341	142	65
342	142	65
343	143	65
344	143	64
345	144	64
346	144	63
347	144	63
348	145	62
349	145	62
350	146	62
351	146	61
352	146	61
353	147	60
354	147	60
355	148	59
356	148	59
357	148	59
358	149	58
359	149	58
360	150	57
361	150	57
362	151	57
363	151	56
364	151	56
365	152	55
366	152	55
367	153	54
368	153	54
369	153	54
370	154	53
371	154	53
372	155	52
373	155	52
374	155	51
375	156	51
376	156	51
377	157	50
378	157	50
379	157	49
380	158	49
381	158	49
382	159	48
383	159	48
